Cidade,Curso,Grau,Turno,Vagas,Inscritos,year,Inscritos/Vagas
Niterói,Hotelaria,Tecnológico,Integral,50.0,447.0,2020,8.94
Niterói,Desenho industrial,Bacharelado,Integral,100.0,982.0,2020,9.82
Niterói,Antropologia,Bacharelado,Integral,62.0,744.0,2020,12.0
Niterói,Sociologia,Bacharelado,Noturno,56.0,328.0,2020,5.857142857142857
Niterói,Sociologia,Bacharelado,Vespertino,56.0,571.0,2020,10.196428571428571
Niterói,Segurança pública,Bacharelado,Noturno,120.0,1653.0,2020,13.775
Niterói,Artes,Bacharelado,Integral,40.0,846.0,2020,21.15
Niterói,Cinema e audiovisual,Licenciatura,Noturno,22.0,429.0,2020,19.5
Niterói,Processos gerenciais,Tecnológico,Noturno,100.0,1136.0,2020,11.36
Niterói,Jornalismo,Bacharelado,Integral,52.0,1553.0,2020,29.865384615384617
Niterói,Administração pública,Bacharelado,Integral,50.0,468.0,2020,9.36
Niterói,Ciência ambiental,Bacharelado,Integral,40.0,517.0,2020,12.925
Nova friburgo,Odontologia,Bacharelado,Integral,80.0,1886.0,2020,23.575
Nova friburgo,Biomedicina,Bacharelado,Integral,30.0,710.0,2020,23.666666666666668
Nova friburgo,Fonoaudiologia,Bacharelado,Integral,35.0,672.0,2020,19.2
Petrópolis,Engenharia de produção,Bacharelado,Integral,100.0,395.0,2020,3.95
Rio das ostras,Ciência da computação,Bacharelado,Integral,70.0,742.0,2020,10.6
Rio das ostras,Serviço social,Bacharelado,Noturno,70.0,1060.0,2020,15.142857142857142
Rio das ostras,Enfermagem,Bacharelado,Integral,60.0,1597.0,2020,26.616666666666667
Rio das ostras,Engenharia de produção,Bacharelado,Integral,70.0,466.0,2020,6.6571428571428575
Rio das ostras,Produção cultural,Bacharelado,Integral,70.0,604.0,2020,8.628571428571428
Rio das ostras,Psicologia,Bacharelado,Integral,40.0,1401.0,2020,35.025
Santo antônio de pádua,Matemática,Licenciatura,Noturno,40.0,163.0,2020,4.075
Santo antônio de pádua,Pedagogia,Licenciatura,Noturno,50.0,487.0,2020,9.74
Santo antônio de pádua,Física,Licenciatura,Noturno,50.0,74.0,2020,1.48
Santo antônio de pádua,Ciências naturais,Licenciatura,Noturno,50.0,278.0,2020,5.56
Santo antônio de pádua,Computação,Licenciatura,Integral,50.0,334.0,2020,6.68
Santo antônio de pádua,Interdisciplinar em educação no campo,Licenciatura,Integral,60.0,109.0,2020,1.8166666666666667
Santo antônio de pádua,Matemática,Bacharelado,Noturno,50.0,203.0,2020,4.06
Volta redonda,Engenharia metalúrgica,Bacharelado,Integral,48.0,289.0,2020,6.020833333333333
Volta redonda,Engenharia mecânica,Bacharelado,Integral,80.0,617.0,2020,7.7125
Volta redonda,Engenharia de produção,Bacharelado,Integral,80.0,632.0,2020,7.9
Volta redonda,Engenharia de agronegócios,Bacharelado,Integral,80.0,431.0,2020,5.3875
Volta redonda,Administração,Bacharelado,Noturno,120.0,1441.0,2020,12.008333333333333
Volta redonda,Química,Bacharelado,Integral,62.0,316.0,2020,5.096774193548387
Volta redonda,Química,Licenciatura,Integral,62.0,306.0,2020,4.935483870967742
Volta redonda,Ciências contábeis,Bacharelado,Matutino,40.0,223.0,2020,5.575
Volta redonda,Ciências contábeis,Bacharelado,Noturno,80.0,786.0,2020,9.825
Volta redonda,Direito,Bacharelado,Integral,80.0,1793.0,2020,22.4125
Volta redonda,Matemática,Bacharelado,Integral,80.0,345.0,2020,4.3125
Volta redonda,Administração pública,Bacharelado,Integral,42.0,580.0,2020,13.80952380952381
Volta redonda,Física,Bacharelado,Integral,80.0,332.0,2020,4.15
Volta redonda,Engenharia de materiais,Bacharelado,Integral,40.0,245.0,2020,6.125
Volta redonda,Psicologia,Bacharelado,Integral,40.0,1445.0,2020,36.125
Angra dos reis,Geografia,Licenciatura,Noturno,40.0,116.0,2021,2.9
Angra dos reis,Pedagogia,Licenciatura,Noturno,41.0,328.0,2021,8.0
Angra dos reis,Pedagogia,Licenciatura,Vespertino,41.0,213.0,2021,5.195121951219512
Angra dos reis,Políticas públicas,Bacharelado,Noturno,40.0,256.0,2021,6.4
Campos dos goytacazes,Ciências econômicas,Bacharelado,Integral,120.0,636.0,2021,5.3
Campos dos goytacazes,Ciências sociais,Bacharelado,Noturno,60.0,250.0,2021,4.166666666666667
Campos dos goytacazes,Ciências sociais,Licenciatura,Noturno,70.0,309.0,2021,4.414285714285715
Campos dos goytacazes,Geografia,Bacharelado,Vespertino,62.0,262.0,2021,4.225806451612903
Campos dos goytacazes,Geografia,Licenciatura,Noturno,63.0,196.0,2021,3.111111111111111
Campos dos goytacazes,História,Licenciatura,Noturno,40.0,232.0,2021,5.8
Campos dos goytacazes,História,Bacharelado,Noturno,80.0,376.0,2021,4.7
Campos dos goytacazes,Psicologia,Bacharelado,Integral,110.0,2654.0,2021,24.12727272727273
Campos dos goytacazes,Serviço social,Bacharelado,Noturno,100.0,1058.0,2021,10.58
Macaé,Administração,Bacharelado,Noturno,50.0,1101.0,2021,22.02
Macaé,Ciências contábeis,Bacharelado,Noturno,50.0,294.0,2021,5.88
Macaé,Direito,Bacharelado,Integral,100.0,1568.0,2021,15.68
Niterói,Administração,Bacharelado,Noturno,80.0,1242.0,2021,15.525
Niterói,Administração pública,Bacharelado,Integral,50.0,376.0,2021,7.52
Niterói,Antropologia,Bacharelado,Integral,62.0,545.0,2021,8.790322580645162
Niterói,Arquivologia,Bacharelado,Integral,80.0,669.0,2021,8.3625
Niterói,Artes,Bacharelado,Integral,40.0,560.0,2021,14.0
Niterói,Biblioteconomia e documentação,Bacharelado,Integral,80.0,654.0,2021,8.175
Niterói,Biomedicina,Bacharelado,Integral,62.0,2442.0,2021,39.38709677419355
Niterói,Ciência ambiental,Bacharelado,Integral,40.0,406.0,2021,10.15
Niterói,Ciência da computação,Bacharelado,Integral,140.0,1743.0,2021,12.45
Niterói,Ciências atuariais,Bacharelado,Noturno,80.0,443.0,2021,5.5375
Niterói,Ciências biológicas,Bacharelado,Integral,80.0,1057.0,2021,13.2125
Niterói,Ciências biológicas,Licenciatura,Integral,40.0,358.0,2021,8.95
Niterói,Ciências contábeis,Bacharelado,Noturno,90.0,846.0,2021,9.4
Niterói,Ciências econômicas,Bacharelado,Matutino,100.0,770.0,2021,7.7
Niterói,Ciências econômicas,Bacharelado,Noturno,100.0,819.0,2021,8.19
Niterói,Ciências sociais,Licenciatura,Noturno,30.0,271.0,2021,9.033333333333333
Niterói,Ciências sociais,Bacharelado,Noturno,30.0,266.0,2021,8.866666666666667
Niterói,Ciências sociais,Licenciatura,Vespertino,30.0,150.0,2021,5.0
Niterói,Ciências sociais,Bacharelado,Vespertino,30.0,174.0,2021,5.8
Niterói,Cinema e audiovisual,Bacharelado,Integral,72.0,1783.0,2021,24.76388888888889
Niterói,Cinema e audiovisual,Licenciatura,Noturno,22.0,284.0,2021,12.909090909090908
Niterói,Comunicação social - publicidade e propaganda,Bacharelado,Integral,52.0,1728.0,2021,33.23076923076923
